Üniversite Kütüphanesi Chatbot'una Sorulabilecek Sorular,Cevap,,,,,,,,,,,,,,,,,,,,,,,,
"78. Kütüphaneye kitap bağışı yapabilir miyim, nasıl yaparım?","İTÜ Kütüphane ve Dokümantasyon Daire Başkanlığı üniversitede yapılan eğitim-öğretimi desteklemek, araştırmalara katkıda bulunmak ve kullanıcıların kültürel gereksinimleri doğrultusunda kütüphane koleksiyonunu geliştirmek amacı ile bağış yayın kabul etmektedir.

Bağış yapmak isteyen kişi ve kurumların, bağışlayacakları yayınların bilgilerini içeren listeyi önceden Daire Başkanlığı’na iletmesi gerekir.

Bağışlanacak koleksiyondaki el yazması ve nadir basma eser niteliği dışında kalanlardan, güncelliğini yitirmiş olanlar bağış olarak kabul edilmez. 

Koleksiyon Geliştirme Bölümü tarafından kütüphane koleksiyonu için uygun olduğuna karar verilen yayınlar teknik işlemleri yapılarak koleksiyona eklenir. Bağış yapan kişi veya kuruma İTÜ adına teşekkür mektubu gönderilir. 

Bağış yapılan yayın, kütüphane koleksiyonunda (rezerv yayınlar hariç) mevcutsa kabul edilmez. 

Daire Başkanlığı bağış yapılan yayınları hangi bölümde ve hangi kurallar doğrultusunda kullanıcılara sunacağı konusunda karar verme hakkına sahiptir.

Süreli yayınların bağış olarak kabul edilebilmesi için koleksiyonun başlangıcı ya da devamının kütüphanede bulunması gerekir. 

Dergi, ansiklopedi vb. çok ciltli eserler cilt bütünlüğü oluşturuyorsa kabul edilir. 

Daire Başkanlığı özel ya da tüzel kişilere, koleksiyon bağışı yapması için başvurabilir. 

Daire Başkanlığı uygun gördüğü takdirde bağış olarak kabul ettiği yayınları iade etme veya başka bir kütüphaneye bağışlama hakkına sahiptir. 

Fotokopi yayınlar, fiziksel açıdan kötü durumdaki yayınlar ve devamlılığı sağlanamayan süreli yayınlar bağış olarak kabul edilmemektedir. ",,,,,,,,,,,,,,,,,,,,,,,,
79. Kütüphane koleksiyonu için kitap satın almayı nasıl önerebilirim?,Kılavuzda cevabı var.,,,,,,,,,,,,,,,,,,,,,,,,
"80. Yaklaşan kütüphane etkinlikleri (söyleşi, sergi vb.) var mı?",İTÜ Kütüphaneleri tarafından düzenlenen etkinlikleri kütüphanenin anasayfasından takip edebilirsiniz: https://kutuphane.itu.edu.tr/,,,,,,,,,,,,,,,,,,,,,,,,
81. Geri bildirim veya şikayette nasıl bulunabilirim?,Kılavuzda cevabı var.,,,,,,,,,,,,,,,,,,,,,,,,
82. Telif hakları ve akademik kullanım hakkında bilgi verir misin?,"Size bu konuda yardımcı olmak çok isterdim ancak maalesef böyle bir yeteneğim yok, kusura bakmayın.  İTÜ Kütüphaneleri'nde, Mustafa İnan Kütüphanesi Giriş Katı’ndaki Danışma Masası’nda ve Şube Kütüphanelerinde görev yapan danışma kütüphanecileri bulunmaktadır. Benim bilgi ve yeteneklerimin dışında kalan soruları danışma kütüphanecilerine sorabilirsiniz. Kampüs dışındaysanız İTÜ Kütüphane Anasayfasından canlı destek hizmetine bağlanabilirsiniz.",,,,,,,,,,,,,,,,,,,,,,,,
84. Mobil uygulamanız var mı?,Mobil uygulamamız yoktur.,,,,,,,,,,,,,,,,,,,,,,,,
85. Kütüphane haber bültenine nasıl abone olabilirim?,Kütüphane duyurularını web sayfasından takip edebilir ya da kurumsal listelerden (Akademik-Tümokul-Öğrenci) gelen e-postaları takip edebilirsiniz.,,,,,,,,,,,,,,,,,,,,,,,,
86. Aramaları anlamsal olarak mı yoksa anahtar kelime bazlı mı yapıyorsun?," aramalarımı temelde anahtar kelime bazlı ve kontrollü başlıklar üzerinden yapıyorum. Bu durum, İTÜ Kütüphaneleri'nin web sayfasında yer alan ve kütüphane kaynaklarını taramanızı sağlayan ""Kütüphane Katalog Tarama"" ve ""Tarıyorum"" alanlarının çalışma prensiplerine benzerdir.
İşte bu tarama yöntemlerinin detayları:
• Anahtar Kelime Bazlı Tarama:
    ◦ Yazar Adı Taraması: Aradığınız yazarın soyadını arama kutucuğuna yazarak yapılır. Mümkün oldukça yazar adının tam olarak yazılması, aranan sonuca daha çok yaklaştırır.
    ◦ Eser Adı Taraması: Aranan kaynağın adını tam olarak girerek tarama yapılır.
    ◦ Gelişmiş Tarama: Bu tarama türünde anahtar sözcük, başlık, yazar gibi alanlar kullanılarak arama sonuçları materyal türü, yayının bulunduğu yer, dili, yılı gibi çeşitli kriterlere göre daraltılabilir.
• Kontrollü Başlıklar / Konu Taraması:
    ◦ Konu Taraması: Arama alanı olarak ""konu"" seçildikten sonra, konu başlığı girilerek yapılır. Bu konu başlıkları, Kütüphane’nin Kataloglama ve Teknik Hizmetler Bölümü tarafından belirlenmiş standart (kontrollü) başlıklardır. Burada önemli olan, konuyu en iyi tanımlayan başlığın seçilmesidir. Eğer aradığınız konu ile ilgili çok fazla sayıda yayına ulaşırsanız, konuyu tam olarak ifade edecek, daraltıp sınırlayacak başlıklar belirlemeniz önerilir.
• Boolean İşleçleri (Mantıksal Operatörler):
    ◦ Gelişmiş Tarama sırasında, birden fazla tarama alanını AND, OR ve NOT işleçleri ile birleştirerek daha karmaşık aramalar yapabilirsiniz. Bu Boolean işleçleri, kullandığınız anahtar sözcüklerinin kapsamı dışında sınırlama yapmanıza olanak sağlar. Örneğin:
        ▪ A AND B: İçinde A ve B sözcüklerinin ikisinin de bulunduğu sonuçları içerir.
        ▪ A OR B: İçinde A sözcüğünün veya B sözcüğünün geçtiği sonuçları içerir.
        ▪ A NOT B: İçinde B sözcüğünün geçmediği, ancak A sözcüğünün geçtiği sonuçları içerir.
Bu bilgiler ışığında, benim aramalarım belirli anahtar kelimeler, tam başlıklar, yazarlar ve kütüphanenin tanımladığı standart konu başlıkları üzerinden, mantıksal operatörlerle desteklenerek gerçekleştirilmektedir. Doğrudan anlamsal bir ""anlama"" yeteneğim olmayıp, bu belirlenmiş ve kurallı arama yöntemleri ile size en uygun sonuçları getirmeye çalışırım.",,,,,,,,,,,,,,,,,,,,,,,,
"87. ""Makine öğrenmesi"" ile ""veri madenciliği"" arasındaki farkı açıklayan temel bir kaynak önerebilir misin?","İTÜ Kütüphaneleri'nin web sayfasında yer alan ""Kütüphane Katalog Tarama"" veya ""Tarıyorum"" alanını kullanarak veya istediğiniz anahtar kelimelerle arama yapabilirsiniz. Bu sayede, kütüphane koleksiyonunda bulunan kitaplar, tezler, süreli yayınlar gibi farklı türdeki bilgi kaynaklarının bibliyografik künyelerine, içerik bilgilerine ve yer numaralarına ve de kütüphanemizin erişim sağladığı elektronik kaynaklara ulaşabilirsiniz. Konu taramasında çok fazla yayına ulaşırsanız, aradığınız konuyu tam olarak ifade edecek, konuyu daraltıp sınırlayacak başlıklar belirleyerek araştırmanızı sürdürmeniz önerilir.",,,,,,,,,,,,,,,,,,,,,,,,
88. Sci-Hub yasal mı? Neden kullanmamalıyım?,"Size bu konuda yardımcı olmak çok isterdim ancak maalesef bu konuda bilgi sahibi değilim, kusura bakmayın.  İTÜ Kütüphaneleri'nde, Mustafa İnan Kütüphanesi Giriş Katı’ndaki Danışma Masası’nda ve Şube Kütüphanelerinde görev yapan referans kütüphanecileri bulunmaktadır. Benim bilgi ve yeteneklerimin dışında kalan soruları referans kütüphanecilerine sorabilirsiniz. Kampüs dışındaysanız İTÜ Kütüphane anasayfasından canlı destek hizmetine bağlanabilirsiniz.",,,,,,,,,,,,,,,,,,,,,,,,
89. Bana herhangi bir konu hakkında en güncel 5 makaleyi özetleyebilir misin?,"Araştırma yaptığınız konu ile ilgili en güncel makaleleri bulmak için İTÜ Kütüphane anasayfasındaki ""Tarıyorum"" arama motorunu kullanabilirsiniz. Bununla birlikte üyesi olduğumuz veritabanlarından ProQuest Central (link: https://www.proquest.com/central/index) ve Scopus (link: https://www.scopus.com/) genel literatür taraması yapmak için oldukça fazla akademik yayını içeren kaliteli veritabanlarıdır. Ayrıca Mühendislik ve bilgisayar bilimleri",,,,,,,,,,,,,,,,,,,,,,,,
90. ProQuest ve JSTOR veritabanlarını benim araştırma konum için karşılaştırır mısın?,"Merhaba! Kütüphanemiz birçok değerli akademik veritabanına erişim sağlamaktadır. Araştırmanız için sorduğunuz ProQuest ve JSTOR'u karşılaştıralım.

Her ikisi de temel kaynaklar olmakla birlikte, içerik türleri ve odak noktaları bakımından farklılaşırlar.

ProQuest: Güncel ve Çeşitli İçerik Platformu

ProQuest, çok geniş bir yelpazede, farklı formatlardaki güncel içeriği barındıran multidisipliner bir veritabanı platformudur. Kütüphanemizin abone olduğu ProQuest veritabanları şunlardır:

ProQuest Central: İşletme, sağlık, teknoloji, sosyal bilimler ve sanat gibi çok çeşitli alanlarda on binlerce dergiye, gazeteye, rapora ve teze tam metin erişim sağlayan en kapsamlı koleksiyondur.

ProQuest Dissertations & Theses Global: Dünya çapındaki üniversitelerden milyonlarca tezi ve disertasyonu içeren, özellikle lisansüstü araştırmacılar için en temel tez arşividir.

ProQuest Lib Central e-books (Ebook Central): Farklı disiplinlerdeki yüz binlerce akademik e-kitaba tam metin erişim sunan ana e-kitap platformumuzdur.

ProQuest Coronavirus Research Database: COVID-19 ve benzeri salgınlar üzerine yapılmış güncel bilimsel makalelere, ön baskılara ve tezlere ücretsiz erişim sunan özel bir koleksiyondur.

ProQuest Publicly Available Content: İnternetteki güvenilir ve ücretsiz erişime açık akademik kaynakları tek bir arayüzde toplar.

JSTOR: Akademik Arşivin Derinliği

JSTOR (Journal Storage), temel olarak akademik dergilerin arşivlerine odaklanmış bir dijital kütüphanedir. Birçok önemli derginin ilk sayısından itibaren tam metin erişim sunar. Bu özelliğiyle bir konunun tarihsel gelişimini, temel teorilerini ve kurucu makalelerini araştırmak için idealdir. Özellikle sosyal ve beşeri bilimlerde çok güçlüdür.

Tüm veritabanlarımıza aşağıdaki linkten ulaşabilir, arama çubuğuna isimlerini yazarak ilgili platformlara gidebilirsiniz:
https://kutuphane.itu.edu.tr/arastirma/veritabanlari",,,,,,,,,,,,,,,,,,,,,,,,
91. Birincil ve ikincil kaynaklar arasındaki fark nedir?,"Elbette, bir kütüphane chatbot'u olarak bu soruya şöyle cevap verirdim:

Merhaba! Akademik araştırmaların temelini oluşturan birincil ve ikincil kaynaklar arasındaki farkı basitçe açıklayayım.

1. Birincil Kaynaklar (Olayın Kendisi veya Ham Veri)
Birincil kaynaklar, bir olay veya konu hakkında doğrudan, ilk elden bilgi sunan orijinal materyallerdir. Olayın yaşandığı dönemde oluşturulmuş veya olaya bizzat tanıklık etmiş kişiler tarafından hazırlanmış kanıtlardır.

Örnekler:

Tarih: Günlükler, mektuplar, otobiyografiler, resmi belgeler (ferman, kanun, anlaşma), fotoğraflar, o döneme ait gazeteler.

Bilim: Orijinal bir deneyin sonuçlarını sunan araştırma makalesi, laboratuvar defteri, patentler.

Sanat/Edebiyat: Roman, şiir, resim, heykel, konuşma metinleri.

2. İkincil Kaynaklar (Olay Hakkındaki Yorumlar)
İkincil kaynaklar, birincil kaynakları analiz eden, yorumlayan, özetleyen veya eleştiren çalışmalardır. Olayla aralarında bir ""adım"" vardır; konuyu size yorumlayarak aktarırlar.

Örnekler:

Tarih: Bir savaş hakkında yazılmış tarih kitabı, bir lider hakkında yazılmış biyografi.

Bilim: Başka araştırmaları özetleyen ve değerlendiren derleme makaleler (review articles), ders kitapları.

Sanat/Edebiyat: Bir roman hakkındaki kitap eleştirisi, bir sanatçının eserlerini analiz eden makaleler, ansiklopedi maddeleri.",,,,,,,,,,,,,,,,,,,,,,,,
92. Bu hafta teslim etmem gereken kitaplar için bana bir hatırlatma kurar mısın?,,,,,,,,,,,,,,,,,,,,,,,,,
93. Sesli komutları anlıyor musun?,,,,,,,,,,,,,,,,,,,,,,,,,
"94. Aradığım kitap mevcut değilse, bana Amazon gibi sitelerden satın alma linki önerebilir misin?","Size bu konuda yardımcı olmak çok isterdim ancak maalesef böyle bir yeteneğim yok, kusura bakmayın.  İTÜ Kütüphaneleri'nde, Mustafa İnan Kütüphanesi Giriş Katı’ndaki Danışma Masası’nda ve Şube Kütüphanelerinde görev yapan referans kütüphanecileri bulunmaktadır. Benim bilgi ve yeteneklerimin dışında kalan soruları referans kütüphanecilerine sorabilirsiniz. Kampüs dışındaysanız İTÜ Kütüphane Anasayfasından canlı destek hizmetine bağlanabilirsiniz.",,,,,,,,,,,,,,,,,,,,,,,,
95. Kütüphanenin en çok ödünç alınan 10 kitabını listele.,"Size bu konuda yardımcı olmak çok isterdim ancak maalesef böyle bir yeteneğim yok, kusura bakmayın.  İTÜ Kütüphaneleri'nde, Mustafa İnan Kütüphanesi Giriş Katı’ndaki Danışma Masası’nda ve Şube Kütüphanelerinde görev yapan referans kütüphanecileri bulunmaktadır. Benim bilgi ve yeteneklerimin dışında kalan soruları referans kütüphanecilerine sorabilirsiniz. Kampüs dışındaysanız İTÜ Kütüphane Anasayfasından canlı destek hizmetine bağlanabilirsiniz.",,,,,,,,,,,,,,,,,,,,,,,,
96. Bir araştırma sorusunu nasıl formüle edebilirim?,,,,,,,,,,,,,,,,,,,,,,,,,
97. Bu PDF'teki referansları APA formatına çevir.,"Size bu konuda yardımcı olmak çok isterdim ancak maalesef böyle bir yeteneğim yok, kusura bakmayın.  İTÜ Kütüphaneleri'nde, Mustafa İnan Kütüphanesi Giriş Katı’ndaki Danışma Masası’nda ve Şube Kütüphanelerinde görev yapan danışma kütüphanecileri bulunmaktadır. Benim bilgi ve yeteneklerimin dışında kalan soruları danışma kütüphanecilerine sorabilirsiniz. Kampüs dışındaysanız İTÜ Kütüphane Anasayfasından canlı destek hizmetine bağlanabilirsiniz.",,,,,,,,,,,,,,,,,,,,,,,,
98. Soruma cevap veremediğinde ne yapıyorsun? Bir kütüphaneciye mi yönlendiriyorsun?," İTÜ Kütüphaneleri'nde, Mustafa İnan Kütüphanesi Giriş Katı’ndaki Danışma Masası’nda ve Şube Kütüphanelerinde görev yapan danışma kütüphanecileri bulunmaktadır. Benim bilgi ve yeteneklerimin dışında kalan soruları danışma kütüphanecilerine sorabilirsiniz. Kampüs dışındaysanız İTÜ Kütüphane Anasayfasından canlı destek hizmetine bağlanabilirsiniz.",,,,,,,,,,,,,,,,,,,,,,,,
99. Seninle sohbet edebilir miyim?,"Elbette benimle sohbet edebilirsiniz, İTÜ Kütüphanelerinin kullanımı ve araştırmalarınız için elimden geldiğince size yardımcı olmak isterim. ",,,,,,,,,,,,,,,,,,,,,,,,
100. Senin temel aldığın dil modeli nedir ve kütüphane verileriyle nasıl eğitildin?,,,,,,,,,,,,,,,,,,,,,,,,,
101. Ayırtma rafı nerede?,"Ayırtma rafı Ödünç Verme Bankosunda bulunmaktadır. Ödünç Verme Bankosu, Mustafa İnan Kütüphanesi'nin Giriş Katı’nda, kütüphaneye girişte sağda yer almaktadır.",,,,,,,,,,,,,,,,,,,,,,,,
102. Türk edebiyatı kitapları nerede?," İTÜ Kütüphanelerindeki kitaplar Library of Congress Sınıflama Sistemi kullanılarak düzenlenmiştir. Bu sistemde, her bir bilgi kaynağı için tek bir yer numarası bulunur ve bu numara kaynağın konusunu ve koleksiyonda bulunduğu yeri gösterir.
Türk edebiyatı kitaplarının tam olarak nerede olduğunu bulmak için izlemeniz gereken adımlar şunlardır:
1. Katalog Tarama Yapın: Öncelikle aradığınız belirli bir Türk edebiyatı kitabının bibliyografik künyesine ulaşmak için kütüphane kataloğunu kullanmanız gerekmektedir. Kütüphane kataloğuna web sayfasından ""Kütüphane Katalog Tarama"" veya ""Tarıyorum"" alanından erişebilirsiniz.
2. Yer Numarasını Bulun: Katalog taraması sonucunda, aradığınız yayının yer numarasını not etmelisiniz. Yer numarası, kitabın hangi raflarda bulunduğunu gösteren harf ve rakamlardan oluşan özel bir koddur.
3. Konuma Göre Belirleyin:
    ◦ Giriş Kat: Mustafa İnan Kütüphanesi'nde, yer numarası A ile başlayanlardan P ile başlayanlara kadar olan genel kitap koleksiyonu Giriş Katı'nda yer almaktadır. Edebiyat genellikle ""P"" harfi ile başlayan yer numaralarına sahip olduğundan, Türk edebiyatı kitaplarının büyük bir kısmı Giriş Katı'nda bulunması muhtemeldir.
    ◦ Birinci Kat: Yer numarası Q ile başlayanlar ve Z'ye kadar devam eden kitap koleksiyonu ise Birinci Kat'tadır.
Özetle, aradığınız Türk edebiyatı kitabının yer numarasını kütüphane kataloğundan öğrenerek, kitabın Giriş Katı'nda mı yoksa Birinci Kat'ta mı olduğunu belirleyebilirsiniz.
Eğer aradığınız yayını katalogda bulamaz veya yerinde bulmakta zorlanırsanız, Mustafa İnan Kütüphanesi Giriş Katı’ndaki Danışma Masası’nda görev yapan danışma kütüphanecilerinden yardım alabilirsiniz. Onlar size kaynakları bulma konusunda rehberlik edebilirler.",,,,,,,,,,,,,,,,,,,,,,,,
103. Kütüphane nerede? ,"İTÜ Kütüphaneleri, İstanbul Teknik Üniversitesi'nin 5 ayrı yerleşkesinde hizmet vermektedir. Toplamda 1 merkez ve 7 şube kütüphanesi bulunmaktadır.
Ana kütüphane Mustafa İnan Kütüphanesi'dir ve Ayazağa Kampüsü 34469 Maslak/İSTANBUL adresinde yer almaktadır. Mustafa İnan Kütüphanesi'nin giriş katında Danışma Masası ve ödünç verme bankosu gibi birimler bulunmaktadır.
Diğer şube kütüphanelerinin adres ve iletişim bilgileri ise şunlardır:
• Makine Fakültesi Ratip Berker Kütüphanesi: Gümüşsuyu/İSTANBUL
• Denizcilik Fakültesi Kütüphanesi: Tuzla/İSTANBUL
• Mimarlık Fakültesi Kütüphanesi: Taksim/İSTANBUL
• Yabancı Diller Yüksek Okulu Kütüphanesi: Maçka/İSTANBUL
• İşletme Fakültesi Kütüphanesi: Maçka/İSTANBUL
• Müzik İleri Araştırmalar Merkezi Kütüphanesi: Maçka/İSTANBUL
• Türk Musikisi ve Devlet Konservatuvarı Ercüment Berker Kütüphanesi Arşiv ve Dokümantasyon Merkezi: Maçka/İSTANBUL
Aradığınız yayınların Merkez veya şube kütüphanelerden birinde ya da bu kütüphanelerin özel koleksiyonlarında bulunup bulunmadığını Kütüphane Katalog Tarama veya Tarıyorum alanından kontrol edebilirsiniz.",,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
